"hpg_ph_contact_sales","Kontakt zum Sales Team","Contact to sales team","kontakt na prodejní tým","kontakt na prodejní tým","Kontakt do Sales Team","Contact cu echipa de vânzări",
"hpg_ph_continue_to_business_pages","weiter zu den Business-Seiten ...","Move forward to business pages","dále na prodejní stránky","dále na prodejní stránky","dalej do Business-stron ...","salt spre paginile de afaceri ...",
"hpg_ph_create_account_team","Konto/Team erstellen","Create account/team",,,,"Creere cont/grupă",
"hpg_ph_direct_connection_send_inquiry","Jetzt eine elektronische Anfrage an
InBox.cc Direct senden.","Send an electronical request to InBox.cc.","Zaslat elektronickou poptávku na InBox.cc.","Zaslat elektronickou poptávku na InBox.cc.","Teraz prześlij elektroniczne zapytanie an InBox.cc Direct","Trimiteţi acum o cerere direct către InBox.cc",
"hpg_ph_direct_connection_telephone","Telefon:<br>
Österreich: 0900 48 48 80<br>
Deutschland: 0900 1 48 48 80<br>
Mo/Fr 9-17h (max 1,86 €/m)","Telephone: +43 (0) 316 72 02 40","tel.: 0043 316 72 02 40","tel.: 0043 316 72 02 40","Telefon: +43 (0) 316 - 72 02 40","Telefon: +43 (316) 720 240",
"hpg_ph_direct_connection_to_inboxcc","der direkte Draht zu InBox.cc:","In direct line with InBox.cc:","přímá linka k InBox.cc:","prímá linka k InBox.cc","Bezpośredni telefon do InBox.cc:","Linia directă spre InBox.cc:",
"hpg_ph_downloads_more_downloads_link","Weitere Downloads (z.B. InBox.cc OfficeSuite oder InBox.cc SignedMail) finden Sie hier im Software - Download - Bereich","You will find more downloads here in the software-download-area(e.g.InBox.cc OfficeSuite or InBox.ccSignedMail) ","další Doawnloads (např. InBox.cc.Office Suite nebo InBox.cc SignedMail) najdete zde v software - Download - oblast","další Doawnloads (napr. InBox.cc.Office Suite nebo InBox.cc SignedMail) najdete zde v software - Download - oblast","dalsze pliki ściągnięte (z.B. InBox.cc OfficeSuite oder InBox.cc SignedMail) znajdziesz tu w oprogramowaniu  - zakres Download","Viitoare downloads (ex. InBox.cc OfficeSuite sau InBox.cc SingendMail) se găsesc aici in domeniul Software-Download",
"hpg_ph_email_contacts","E-Mail Kontakte: ","Email contacts","e-mail Kontakty","e-mail Kontakty","Kontakty e-mail","Contacte per E-Mail:",
"hpg_ph_features_display_all_features","Klicken Sie hier für alle Features","Click here for all features","Klikněte zde pro všechny nastavení","kliknete zde pro všechny nastavení","Tutaj znajdziesz wszystkie Features","Clic aici pentru toate caracteristicile",
"hpg_ph_features_display_one_feature_intro","InBox.cc - das umfangreiche WebOffice und der komfortable WebOrganizer bietet Ihnen unter anderem folgendes Feature:","InBox.cc- the extensive WebOffice and comfortable WebOrganizer offer amongst others the folowing feature:","InBox.cc. - rozsáhlý WebOffice a konfortní WebOrganizer Vám nabízí mimo jiné následující nastavení:","InBox.cc. - rozsáhlý WebOffice a konfortní WebOrganizer Vám nabízí mimo jiné následující nastavení:","InBox.cc – oferuje  WebOffice  a komfortowy WebOrganizer następujące dane przyszłościowe Feature:/cechy danych","InBox.cc - cuprinzătorul de WebOffice şi un confortabil organizator web vă oferă următoarele caracteristici:",
"hpg_ph_features_download_as_pdf","Sie koennen den Leistungsumfang hier<br>auch als PDF herunterladen","You are able to download the full spectrum of services here as PDF file.","Zde můžete rozsah výkonů<br>načíst také jako PDF","zde mužete rozsah výkonu","Można tu również ściągnąć  wydajność/moc jako PDF","<br>Aici puteţi să download-en în format PDF capacitatea",
"hpg_ph_features_download_info_scope_of_services","Hier finden Sie auch die Information welches Produkt welchen Leistungsumfang bietet.","Here you will also find additional information about every product´s features","Zde najdete také informace o tom, jaký je rozsah výkonů kteréhokoliv produktu.","zde najdete také informace o tom, jaký je rozsah výkonu kteréhokoliv produktu.","Znajdziesz tu również informacje o tym jaki zakres mocy oferuje jaki produkt","Aici se găsesc informaţiile despre produse, fiecare ce conţine şi oferă.",
"hpg_ph_features_please_select","- bitte auswaehlen -","-please select-","prosím vyberte","prosím vyberte","proszę wybrać","-selectaţi-",
"hpg_ph_features_scope_of_services","Features/Leistungsumfang","features/range of services","nastavení/rozsah výkonu","nastavení/rozsah výkonu","Features/zakres wydajności","Caracteristici/Rază de acţiune",
"hpg_ph_features_top_of_page","nach oben","To top ","nahoru","nahoru","Do góry","în sus",
"hpg_ph_features_you_can_expect","Folgende Features erwarten Sie","Following features awaiting you",,,,"Următoarele caracteristici vă aşteaptă",
"hpg_ph_feature_testdrive_this_and_many_others","Dieses Features und andere jetzt 30 Tage lang kostenlos testen!","Try this and other features in our 30day free trial!","Tyto nastavení a jiné teď 30 dní bezplatně otestovat!","tyto nastavení a jiné ted 30 dní bezplatne otestovat!","Te i inne cechy testuj teraz 30 dni bezpłatnie!","Aceste caracteristici şi altele se post testa 30 de zile gratuit!",
"hpg_ph_free_test_drive_now","Kostenlos testen","Try for free","bezplatné otestování","bezplatné otestování","Testuj bezpłatnie","Testare gratuită",
"hpg_ph_html_link_news","Nachrichten-und-Aktuelles.html","News and current issues.html","zprávy a aktuality.html","zprávy a aktuality.html","Wiadomości i aktualności.html","Ştiri-şi-Actualităţi.html",
"hpg_ph_html_link_products_and_solutions","Produkte-und-Loesungen.html","products-and-solutions.html","produkty-a-řešení.html","produkty-a-rešení.html","Produkty-i-rozwiązania.html","Produse-şi-Soluţii.html",
"hpg_ph_html_link_sales_consulting","Beratung-und-Vertrieb.html","consulting-and-sales.html","poradenství a prodej","poradenství a prodej","Porada i zbyt html","Consultanţă-şi-Distribuţie.html",
"hpg_ph_information_for_business_customers","Informationen für Business-Kunden","Information for business customers","informace pro obchodní klienty","informace pro obchodní klienty","Informacja dla klientów biznesu","Informaţii pentru clienţi de afaceri",
"hpg_ph_information_for_private_customers","Informationen für Privatkunden","Information for private customers","informace pro soukromé klienty","informace pro soukromé klienty","Informacje dla prywatnych klijentów","Informaşii pentru clienţi personali",
"hpg_ph_is_a_partner","ist ein InBox.cc Partner","Is an InBox.cc partner","je partnerem InBoxu.cc",,"jest InBox.cc partnerem","este un partener InBox.cc",
"hpg_ph_like_ibx","Gefällt Ihnen InBox.cc?","Do you like InBox.cc?",,,"Czy podoba się Państwu InBox.cc?","Vă place InBox.cc?",
"hpg_ph_link_goto_pricelist","Sie finden die aktuelle Preisliste hier ...","You will find the current price list here...","zde naleznete aktuální ceník","zde naleznete aktuální ceník","Tu znajdziesz aktualny cennik","Aici găsiţi actualele liste de preţuri ...",
"hpg_ph_link_press_clippings","Zu den Presseinformationen/Presseclippings ...","To press information/pressclippings","k tiskovým informacím","k tiskovým informacím","Do informacji prasowych/Presseclippings ...","Spre informaţiile de presă/Press clippings ...",
"hpg_ph_link_to_feedback_form","Klicken Sie bitte hier um unser Anfrage - Formular auszufüllen","Please click here to fill in our enquiry form","Pro vyplnění klikněte prosím na náš dotazník","pro vyplnení kliknete prosím na náš dotazník","Kliknij tu aby wypełnić naszą ankietę","Clic aici pentru a completa formularul cerere",
"hpg_ph_more_features_in_this_secion","Weitere Features aus diesem Bereich:","More features from this section:","další .... z této oblasti","další .... z této oblasti","Inne Features z tego zakresu","Viitoare caracteristici din acest domeniu:",
"hpg_ph_nav_products_and_solutions","Lösungen","Solutions","produkty a řešení","produkty a rešení","Rozwiązania","Produse & Soluţii",
"hpg_ph_nav_sales_consulting","Beratung","Consulting","poradenství a prodej","poradenství a prodej","Sprzedaż","Consultanţă & Distribuţie",
"hpg_ph_nav_top_become_partner","Partner werden","Become a partner","stát se partnerem","stát se partnerem","Reklama partnera","Devino partener",
"hpg_ph_nav_top_contact_sales","Vertrieb kontaktieren","Contact sales","kontaktovat prodej","kontaktovat prodej","Sprzedaż – kontakty","Contactare distribuţie",
"hpg_ph_news_link_to_weblog","Klicken Sie bitte hier um aktuelle Nachrichten zu InBox.cc (InBox.ccBLOG) anzuzeigen.","Please clock here to access current news about InBox.cc(InBox.ccBLOG)","Klikněte prosím zde, kde se Vám ukážou aktuální zprávy InBoxu.cc.(InBox.cc.BLOG) ","kliknete prosím zde, kde se Vám ukážou aktuální zprávy InBoxu.cc.(InBox.cc.BLOG) ","Kliknij tu w celu wskazania aktualnych informacji InBox.cc (InBox.ccBLOG)","Clic aici pentru a viziona ştirile actuale la InBox.cc (InBox.ccBLOG)",
"hpg_ph_ordner_now","Jetzt bestellen","Order now","Teď objednat","ted objednat","Zamów teraz","Comandă acum",
"hpg_ph_partners_at_your_service","Folgender Partner steht Ihnen gerne für Auskünfte und Bestellungen zur Verfügung:","The following partner will be at your service in regard of information and orders:","Co se týče informací a objednávek je Vám k dispozici následující partner:","co se týce informací a objednávek je Vám k dispozici následující partner:","Następujący  partner jest do dyspozycji i udzieli porad i informacji","Următorii parteneri vă stau la dispoziţie cu informaţii şi comenzi:",
"hpg_ph_partners_contact_information","Kontaktinformation:","Contact information:","informace o kontaktu:","informace o kontaktu:","Informacja kontaktowa","Informaţii:",
"hpg_ph_partner_profit","InBox.cc Partner werden und profitieren!","Become an InBox.cc partner and benefit from it!","Stát se InBox.cc partnerem a profitovat!",,"Zostań InBox.cc partnerem i profituj!","Devino partner la InBox.cc şi profită!",
"hpg_ph_recommend_been_logged_out","Sie wurden soeben erfolgreich ausgeloggt.","You have just been successfully logged out.",,,"Właśnie zostali Państwo pomyślnie wylogowani.","Aţi făcut log out cu succes.",
"hpg_ph_recommend_enter_sender","Geben Sie bitte eine gueltige Absender-Adresse ein","Please enter a valid sender´s address",,,"Proszę podać aktualny adres nadawcy","Introduceţi o adresă validă pentru destinatar ",
"hpg_ph_recommend_enter_text","Geben Sie bitte einen Text ein","Please enter a text",,,"Proszę wpisać tekst","Introduceţi un text",
"hpg_ph_recommend_ibx","InBox.cc weiterempfehlen ...","Recommend InBox.cc...",,,"Polec InBox.cc innym ...","Reomandă InBox.cc mai departe ...",
"hpg_ph_recommend_load_addresses_from_Adrbbook","Adressen aus dem <b>Adressbuch</b> laden ...","Load addresses from addressbook...",,,"Załaduj adresy z książki adresowej ...","Încărcare adrese din <b>agendă</b> ... ",
"hpg_ph_recommend_logout_now","Jetzt sofort ausloggen ...","Logout immediately...",,,"Wyloguj natychmiast ...","Logout acum ...",
"hpg_ph_recommend_mail_subject","Website Empfehlung","Website recommendation",,,"Poleć stronę WWW","Recomandă pagină web",
"hpg_ph_recommend_recipient_info","Mehrere Empfänger mit Comma trennen; Zum Schutz der Privatspähre: Jeder Empfänger erhält ein eigenes E-Mail!","Seperate more recipients by comma;",,,"Kilku nadawców oddzielić przecinkami; Dla ochrony prywatności: Każdy odbiorca otrzyma oddzielną wiadomość!","Mai mulţi destinatari se despart prin vrigulă; Pentru siguranţa personală; Fiecare destinatar primeste o adresă a lui!",
"hpg_ph_recommend_thank_you","Vielen Dank für Ihre Empfehlung!","Thank you for your recommendation!",,,"Dziękujemy za polecenie!","Vă mulţumim pentru recomandare!",
"hpg_ph_recommend_us","Empfehlen Sie uns weiter!","Recommend us !",,,"Proszę polecić nas innym!","Recomandaţine mai departe!",
"hpg_ph_sales_and_consulting","Sales & Consulting","Sales &Consulting","prodej a poradenství","prodej a poradenství","sprzedaż & konsultacja","Vînzari & Consultanţă",
"hpg_ph_scope_of_services_what_offers","Was bietet InBox.cc genau?","What does InBox.cc exactly offer?","Co přesně nabízí InBox.cc.?","co presné nabízí InBox.cc.","Co dokładnie oferuje  InBox.cc ?","Ce oferă exact InBox.cc?",
"hpg_ph_search_query","Ihre Suchanfrage","Your query","dotaz vyhledávání",,"Twoje zapytanie","Criterii de căutare",
"hpg_ph_select_product_solutions_text","InBox.cc bietet auf Basis der GROUPWARE - Version auch angepasste Module für bestimmte Einsatzzwecke an.",,"InBox.cc nabízí na bázi GROUPWARE-verze také přizpůsobené moduly pro určité účely.","InBox.cc nabízí na bázi GROUPWARE-verze také prizpusobené moduly pro urcité úcely.","InBox.cc oferuje na bazie  wersji GROUPWARE - również dopasowane moduły na określone cele","InBox.cc oferă pe baza GROUPWARE - Versiuni precum module adegvate pentru anumite aplicaţii.",
"hpg_ph_select_product_text_business","Unsere Business-Line <b>InBox.cc Groupware</b> ist speziell auf die Bed&uuml;fnisse von Klein- und Mittelbetrieben ausgelegt.",,"Naše Business-Line InBox.cc.skupina produktů je speciálně přizpůsobena pro malé a střední firmy.","naše Business-Line InBox.cc.skupina produktu je speciálne prizpusobena pro malé a strední firmy.","Nasza linia Business-Line InBox.cc Groupware jest skierowano specjalnie na potrzeby małych I – i średnich przedsiębiorstw","Linia noastră de afaceri <b>InBox.cc Groupware</b> este creată special pentru intreprinderi mici si mijlocu.",
"hpg_ph_select_product_text_private","InBox.cc  stellt unser umfassende Einstiegspaket dar. Steigen Sie in wenigen Minuten in die Welt des mobilen Büros ein!",,"InBox.cc. představuje náš rozsáhlý vstupní balíček.Vstupte během několika minut do světa mobilních kanceláří!","InBox.cc. predstavuje náš rozsáhlý vstupní balícek.vstupte behem nekolika minut do sveta mobilních kancelárí!","InBox.cc przedstawia nasz obszerny pakiet . Proszę wejść w ciągu kilku minut w świat biura mobilnego.","InBox.cc ne pune un pachet complet de începător la dispoziţie. Intraţi în câteva minute în lumea biroului mobil!",
